"INFORMATION TYPE","DATE","MARKET PARTICIPANT","FACILITY NAME","FACILITY REGISTRATION STATUS","COMMISSIONING GENERATION FACILITY","FACILITY GENERATION TYPE","EMBEDDED STATUS","MAX GENERATION CAPACITY (MW)","MIN STABLE LOAD (MW)","MAX LOAD CURTAILMENT CAPACITY (MW)","MAX REGULATION CAPACITY (MW)","MAX PRIMARY RESERVE CAPACITY (MW)","MAX SECONDARY RESERVE CAPACITY (MW)","MAX CONTINGENCY RESERVE CAPACITY (MW)","FREQUENCY RESPONSIVE STATUS","LAST CHANGE DATE"
"RC","25-Apr-2024","TP UTILITIES PTE LTD","AGCTMUC : TEMBUSU : TMUC G1","GRF","-","CCGT/COGEN/TRIGEN","N","101.000","-","-","3.000","11.680","-","20.000","FR","01-Oct-2017"
"RC","25-Apr-2024","TP UTILITIES PTE LTD","AGCTMUC : TEMBUSU : TMUC G2","GRF","-","CCGT/COGEN/TRIGEN","Y","32.500","-","-","-","-","-","-","NFR","30-May-2014"
"RC","25-Apr-2024","TUAS DBOO TRUST","INC : KEPPEL : GENR","GRF","-","ST","N","22.000","-","-","-","-","-","-","NFR","29-Jun-2010"
"RC","25-Apr-2024","TUAS POWER GENERATION PTE LTD","TUASPOW : STAGE2 : TUASCCP1","GRF","-","CCGT/COGEN/TRIGEN","N","360.000","-","-","18.000","43.300","-","160.000","FR","01-Jul-2019"
"RC","25-Apr-2024","TUAS POWER GENERATION PTE LTD","TUASPOW : STAGE2 : TUASCCP2","GRF","-","CCGT/COGEN/TRIGEN","N","360.000","-","-","18.000","38.300","-","160.000","FR","01-Jul-2019"
"RC","25-Apr-2024","TUAS POWER GENERATION PTE LTD","TUASPOW : STAGE2 : TUASCCP3","GRF","-","CCGT/COGEN/TRIGEN","N","360.000","-","-","18.000","33.800","-","160.000","FR","01-Oct-2017"
"RC","25-Apr-2024","TUAS POWER GENERATION PTE LTD","TUASPOW : STAGE2 : TUASCCP4","GRF","-","CCGT/COGEN/TRIGEN","N","360.000","-","-","18.000","39.500","-","160.000","FR","30-Jul-2019"
"RC","25-Apr-2024","TUAS POWER GENERATION PTE LTD","TUASPOW : STAGE2 : TUASCCP5","GRF","-","CCGT/COGEN/TRIGEN","N","405.900","-","-","15.000","45.130","-","151.835","FR","01-Oct-2017"
"RC","25-Apr-2024","TUASONE PTE LTD","AGCTWTE : TUAS1WTE : TWTE G1","GRF","-","ST","N","68.100","-","-","-","-","-","-","NFR","21-Dec-2021"
"RC","25-Apr-2024","TUASONE PTE LTD","AGCTWTE : TUAS1WTE : TWTE G2","GRF","-","ST","N","68.100","-","-","-","-","-","-","NFR","21-Dec-2021"
"RC","25-Apr-2024","YTL POWERSERAYA PTE LIMITED","POWSERY : CCP S1 : SERCCP1","GRF","-","CCGT/COGEN/TRIGEN","N","368.000","-","-","13.000","34.600","-","50.000","FR","05-Sep-2019"
"RC","25-Apr-2024","YTL POWERSERAYA PTE LIMITED","POWSERY : CCP S1 : SERCCP2","GRF","-","CCGT/COGEN/TRIGEN","N","364.000","-","-","13.000","36.700","-","50.000","FR","05-Sep-2019"
"RC","25-Apr-2024","YTL POWERSERAYA PTE LIMITED","POWSERY : CCP S2 : SERCCP3","GRF","-","CCGT/COGEN/TRIGEN","N","370.000","-","-","13.000","35.470","-","50.000","FR","01-Oct-2017"
"RC","25-Apr-2024","YTL POWERSERAYA PTE LIMITED","POWSERY : CCP S2 : SERCCP4","GRF","-","CCGT/COGEN/TRIGEN","N","370.000","-","-","13.000","37.690","-","50.000","FR","01-Oct-2017"
"RC","25-Apr-2024","YTL POWERSERAYA PTE LIMITED","POWSERY : JPS.II : JUR GT1","GRF","-","GT","N","90.000","30.000","-","-","-","-","50.000","NFR","15-Dec-2015"
"RC","25-Apr-2024","YTL POWERSERAYA PTE LIMITED","POWSERY : JPS.II : JUR GT2","GRF","-","GT","N","90.000","30.000","-","-","-","-","50.000","NFR","15-Dec-2015"
